Store ID,Product ID,Current_Inventory,Reorder_Point,Needs_Reorder
S001,P0001,223,245.49428848669942,True
S001,P0002,217,235.35152359347444,True
S001,P0003,69,248.65171761815742,True
S001,P0004,338,254.5483578076333,False
S001,P0005,471,240.49883186283427,False
S001,P0006,305,239.68831195199076,False
S001,P0007,256,249.02242708107013,False
S001,P0008,315,245.83173986493847,False
S001,P0009,167,238.52319104217457,True
S001,P0010,167,238.27751995039176,True
S001,P0011,449,242.395127309067,False
S001,P0012,213,230.63152125378093,True
S001,P0013,356,242.0352576907276,False
S001,P0014,293,247.288259306244,False
S001,P0015,356,250.6905031289067,False
S001,P0016,74,240.47189882675173,True
S001,P0017,282,245.41407650145106,False
S001,P0018,191,247.91380239733718,True
S001,P0019,149,244.27713043081118,True
S001,P0020,242,249.60938188290282,True
S002,P0001,415,258.579742979682,False
S002,P0002,364,234.8375294443293,False
S002,P0003,372,244.34368296345508,False
S002,P0004,133,247.07329746817146,True
S002,P0005,464,237.0082783107083,False
S002,P0006,160,238.31173833070764,True
S002,P0007,53,250.39276047996813,True
S002,P0008,218,235.74860909211242,True
S002,P0009,62,256.57483337449656,True
S002,P0010,419,248.31626308871944,False
S002,P0011,156,244.31904672132532,True
S002,P0012,193,252.0354583736592,True
S002,P0013,472,240.4321578985115,False
S002,P0014,342,239.42008395780692,False
S002,P0015,433,234.7891480308396,False
S002,P0016,258,246.65699109100927,False
S002,P0017,236,238.77380462071204,True
S002,P0018,151,251.6802595623305,True
S002,P0019,409,239.25786794234966,False
S002,P0020,284,257.64461079944004,False
S003,P0001,138,235.79641868360105,True
S003,P0002,388,254.7216774247529,False
S003,P0003,112,229.52267500138547,True
S003,P0004,415,237.11627994901608,False
S003,P0005,411,253.53695061722655,False
S003,P0006,451,253.87085878195506,False
S003,P0007,108,249.58951886017798,True
S003,P0008,103,243.6354761131014,True
S003,P0009,496,253.1819893688723,False
S003,P0010,413,245.3310674092441,False
S003,P0011,137,247.32683121333457,True
S003,P0012,108,249.43080463545567,True
S003,P0013,388,259.6336027114422,False
S003,P0014,230,256.91971866609015,True
S003,P0015,270,246.34169348380897,False
S003,P0016,166,253.43467433494985,True
S003,P0017,239,250.82101146318143,True
S003,P0018,375,240.32343529137177,False
S003,P0019,253,254.18756299490215,True
S003,P0020,417,246.06002060304147,False
S004,P0001,497,249.5051341144489,False
S004,P0002,181,233.89304602058326,True
S004,P0003,419,236.6452069424456,False
S004,P0004,105,238.18942300824529,True
S004,P0005,217,244.30488804790855,True
S004,P0006,364,249.540389412689,False
S004,P0007,134,236.21888250171708,True
S004,P0008,390,241.5076569366581,False
S004,P0009,115,247.10471964092375,True
S004,P0010,382,248.92716268718954,False
S004,P0011,155,246.36184436756338,True
S004,P0012,85,235.7342830476481,True
S004,P0013,113,236.23000763124617,True
S004,P0014,386,253.13586807899839,False
S004,P0015,56,245.9088338488384,True
S004,P0016,314,251.03178510989176,False
S004,P0017,100,243.22656508537597,True
S004,P0018,83,232.33919759266203,True
S004,P0019,65,247.09633309033399,True
S004,P0020,249,242.55919206875373,False
S005,P0001,300,237.96016883336156,False
S005,P0002,253,240.12504375376392,False
S005,P0003,98,256.4770750573755,True
S005,P0004,158,246.98850798999018,True
S005,P0005,372,247.6395537762664,False
S005,P0006,491,242.4332280667964,False
S005,P0007,59,250.31473099140277,True
S005,P0008,409,245.07049347480853,False
S005,P0009,319,243.97466550492857,False
S005,P0010,308,247.01141518617493,False
S005,P0011,156,244.0680771390755,True
S005,P0012,495,243.03344137407618,False
S005,P0013,389,246.6338843300598,False
S005,P0014,328,248.52499241961516,False
S005,P0015,408,264.92555194289105,False
S005,P0016,96,250.8666751879653,True
S005,P0017,313,245.9059208359244,False
S005,P0018,278,243.94647547526876,False
S005,P0019,374,243.71134788919312,False
S005,P0020,117,249.8137664270922,True
